gender,race,parental level of education,lunch quality,test preparation course,math score,reading score,writing score,total score,average score,grade,performance level,best subject,gender encoded,lunch quality encoded
female,Americans,bachelor's degree,high,none,72,72,74,218,72.66666666666667,A,excellent,writing,0,0
female,Europeans,some college,high,completed,69,90,88,247,82.33333333333333,A,excellent,reading,0,0
female,Americans,master's degree,high,none,90,95,93,278,92.66666666666667,A,excellent,reading,0,0
male,Asians,associate's degree,poor,none,47,57,44,148,49.333333333333336,D,fair,reading,1,1
male,Europeans,some college,high,none,76,78,75,229,76.33333333333333,A,excellent,reading,1,0
female,Americans,associate's degree,high,none,71,83,78,232,77.33333333333333,A,excellent,reading,0,0
female,Americans,some college,high,completed,88,95,92,275,91.66666666666667,A,excellent,reading,0,0
male,Americans,some college,poor,none,40,43,39,122,40.666666666666664,E,pass,reading,1,1
male,Africans,high school,poor,completed,64,64,67,195,65.0,B,v. good,writing,1,1
female,Americans,high school,poor,none,38,60,50,148,49.333333333333336,D,fair,reading,0,1
male,Europeans,associate's degree,high,none,58,54,52,164,54.666666666666664,C,good,math,1,0
male,Africans,associate's degree,high,none,40,52,43,135,45.0,D,fair,reading,1,0
female,Americans,high school,high,none,65,81,73,219,73.0,A,excellent,reading,0,0
male,Asians,some college,high,completed,78,72,70,220,73.33333333333333,A,excellent,math,1,0
female,Asians,master's degree,high,none,50,53,58,161,53.666666666666664,C,good,writing,0,0
female,Europeans,some high school,high,none,69,75,78,222,74.0,A,excellent,writing,0,0
male,Europeans,high school,high,none,88,89,86,263,87.66666666666667,A,excellent,reading,1,0
female,Americans,some high school,poor,none,18,32,28,78,26.0,F,weak,reading,0,1
male,Europeans,master's degree,poor,completed,46,42,46,134,44.666666666666664,E,pass,math,1,1
female,Europeans,associate's degree,poor,none,54,58,61,173,57.666666666666664,C,good,writing,0,1
male,Africans,high school,high,none,66,69,63,198,66.0,B,v. good,reading,1,0
female,Americans,some college,poor,completed,65,75,70,210,70.0,A,excellent,reading,0,1
male,Africans,some college,high,none,44,54,53,151,50.333333333333336,C,good,reading,1,0
female,Europeans,some high school,high,none,69,73,73,215,71.66666666666667,A,excellent,reading,0,0
male,Africans,bachelor's degree,poor,completed,74,71,80,225,75.0,A,excellent,writing,1,1
male,Asians,master's degree,poor,none,73,74,72,219,73.0,A,excellent,reading,1,1
male,Americans,some college,high,none,69,54,55,178,59.333333333333336,C,good,math,1,0
female,Europeans,bachelor's degree,high,none,67,69,75,211,70.33333333333333,A,excellent,writing,0,0
male,Europeans,high school,high,none,70,70,65,205,68.33333333333333,B,v. good,math,1,0
female,Africans,master's degree,high,none,62,70,75,207,69.0,B,v. good,writing,0,0
female,Africans,some college,high,none,69,74,74,217,72.33333333333333,A,excellent,reading,0,0
female,Americans,some college,high,none,63,65,61,189,63.0,B,v. good,reading,0,0
female,Arabians,master's degree,poor,none,56,72,65,193,64.33333333333333,B,v. good,reading,0,1
male,Africans,some college,high,none,40,42,38,120,40.0,E,pass,reading,1,0
male,Arabians,some college,high,none,97,87,82,266,88.66666666666667,A,excellent,math,1,0
male,Arabians,associate's degree,high,completed,81,81,79,241,80.33333333333333,A,excellent,math,1,0
female,Africans,associate's degree,high,none,74,81,83,238,79.33333333333333,A,excellent,writing,0,0
female,Africans,some high school,poor,none,50,64,59,173,57.666666666666664,C,good,reading,0,1
female,Africans,associate's degree,poor,completed,75,90,88,253,84.33333333333333,A,excellent,reading,0,1
male,Americans,associate's degree,poor,none,57,56,57,170,56.666666666666664,C,good,math,1,1
male,Europeans,associate's degree,poor,none,55,61,54,170,56.666666666666664,C,good,reading,1,1
female,Europeans,associate's degree,high,none,58,73,68,199,66.33333333333333,B,v. good,reading,0,0
female,Americans,associate's degree,high,none,53,58,65,176,58.666666666666664,C,good,writing,0,0
male,Americans,some college,poor,completed,59,65,66,190,63.333333333333336,B,v. good,writing,1,1
female,Arabians,associate's degree,poor,none,50,56,54,160,53.333333333333336,C,good,reading,0,1
male,Americans,associate's degree,high,none,65,54,57,176,58.666666666666664,C,good,math,1,0
female,Asians,associate's degree,high,completed,55,65,62,182,60.666666666666664,B,v. good,reading,0,0
female,Europeans,high school,high,none,66,71,76,213,71.0,A,excellent,writing,0,0
female,Africans,associate's degree,poor,completed,57,74,76,207,69.0,B,v. good,writing,0,1
male,Europeans,high school,high,completed,82,84,82,248,82.66666666666667,A,excellent,reading,1,0
male,Arabians,some college,high,none,53,55,48,156,52.0,C,good,reading,1,0
male,Arabians,associate's degree,poor,completed,77,69,68,214,71.33333333333333,A,excellent,math,1,1
male,Europeans,some college,high,none,53,44,42,139,46.333333333333336,D,fair,math,1,0
male,Africans,high school,high,none,88,78,75,241,80.33333333333333,A,excellent,math,1,0
female,Europeans,some high school,poor,completed,71,84,87,242,80.66666666666667,A,excellent,writing,0,1
female,Europeans,high school,poor,none,33,41,43,117,39.0,F,weak,writing,0,1
female,Arabians,associate's degree,high,completed,82,85,86,253,84.33333333333333,A,excellent,writing,0,0
male,Africans,associate's degree,high,none,52,55,49,156,52.0,C,good,reading,1,0
male,Africans,some college,high,completed,58,59,58,175,58.333333333333336,C,good,reading,1,0
female,Europeans,some high school,poor,none,0,17,10,27,9.0,F,weak,reading,0,1
male,Arabians,bachelor's degree,poor,completed,79,74,72,225,75.0,A,excellent,math,1,1
male,Asians,some high school,poor,none,39,39,34,112,37.333333333333336,F,weak,math,1,1
male,Asians,associate's degree,poor,none,62,61,55,178,59.333333333333336,C,good,math,1,1
female,Europeans,associate's degree,high,none,69,80,71,220,73.33333333333333,A,excellent,reading,0,0
female,Africans,some high school,high,none,59,58,59,176,58.666666666666664,C,good,math,0,0
male,Americans,some high school,high,none,67,64,61,192,64.0,B,v. good,math,1,0
male,Africans,some high school,poor,none,45,37,37,119,39.666666666666664,F,weak,math,1,1
female,Europeans,some college,high,none,60,72,74,206,68.66666666666667,B,v. good,writing,0,0
male,Americans,associate's degree,poor,none,61,58,56,175,58.333333333333336,C,good,math,1,1
female,Europeans,associate's degree,high,none,39,64,57,160,53.333333333333336,C,good,reading,0,0
female,Africans,some college,poor,completed,58,63,73,194,64.66666666666667,B,v. good,writing,0,1
male,Africans,some college,high,completed,63,55,63,181,60.333333333333336,B,v. good,math,1,0
female,Asians,associate's degree,poor,none,41,51,48,140,46.666666666666664,D,fair,reading,0,1
male,Europeans,some high school,poor,none,61,57,56,174,58.0,C,good,math,1,1
male,Europeans,some high school,high,none,49,49,41,139,46.333333333333336,D,fair,math,1,0
male,Americans,associate's degree,poor,none,44,41,38,123,41.0,E,pass,math,1,1
male,Arabians,some high school,high,none,30,26,22,78,26.0,F,weak,math,1,0
male,Asians,bachelor's degree,high,completed,80,78,81,239,79.66666666666667,A,excellent,writing,1,0
female,Africans,some high school,high,completed,61,74,72,207,69.0,B,v. good,reading,0,0
female,Arabians,master's degree,high,none,62,68,68,198,66.0,B,v. good,reading,0,0
female,Americans,associate's degree,high,none,47,49,50,146,48.666666666666664,D,fair,writing,0,0
male,Americans,high school,poor,none,49,45,45,139,46.333333333333336,D,fair,math,1,1
male,Asians,some college,poor,completed,50,47,54,151,50.333333333333336,C,good,writing,1,1
male,Arabians,associate's degree,high,none,72,64,63,199,66.33333333333333,B,v. good,math,1,0
male,Africans,high school,poor,none,42,39,34,115,38.333333333333336,F,weak,math,1,1
female,Europeans,some college,high,none,73,80,82,235,78.33333333333333,A,excellent,writing,0,0
female,Europeans,some college,poor,none,76,83,88,247,82.33333333333333,A,excellent,writing,0,1
female,Africans,associate's degree,high,none,71,71,74,216,72.0,A,excellent,writing,0,0
female,Asians,some college,high,none,58,70,67,195,65.0,B,v. good,reading,0,0
female,Africans,some high school,high,none,73,86,82,241,80.33333333333333,A,excellent,reading,0,0
female,Europeans,bachelor's degree,high,none,65,72,74,211,70.33333333333333,A,excellent,writing,0,0
male,Europeans,high school,poor,none,27,34,36,97,32.333333333333336,F,weak,writing,1,1
male,Europeans,high school,high,none,71,79,71,221,73.66666666666667,A,excellent,reading,1,0
male,Europeans,associate's degree,poor,completed,43,45,50,138,46.0,D,fair,writing,1,1
female,Americans,some college,high,none,79,86,92,257,85.66666666666667,A,excellent,writing,0,0
male,Europeans,associate's degree,poor,completed,78,81,82,241,80.33333333333333,A,excellent,writing,1,1
male,Americans,some high school,high,completed,65,66,62,193,64.33333333333333,B,v. good,reading,1,0
female,Arabians,some college,high,completed,63,72,70,205,68.33333333333333,B,v. good,reading,0,0
female,Africans,some college,poor,none,58,67,62,187,62.333333333333336,B,v. good,reading,0,1
female,Africans,bachelor's degree,high,none,65,67,62,194,64.66666666666667,B,v. good,reading,0,0
male,Americans,some college,high,none,79,67,67,213,71.0,A,excellent,math,1,0
male,Africans,bachelor's degree,high,completed,68,74,74,216,72.0,A,excellent,reading,1,0
female,Africans,associate's degree,high,none,85,91,89,265,88.33333333333333,A,excellent,reading,0,0
male,Americans,high school,high,completed,60,44,47,151,50.333333333333336,C,good,math,1,0
male,Europeans,some college,high,completed,98,86,90,274,91.33333333333333,A,excellent,math,1,0
female,Europeans,some college,high,none,58,67,72,197,65.66666666666667,B,v. good,writing,0,0
female,Africans,master's degree,high,none,87,100,100,287,95.66666666666667,A,excellent,reading,0,0
male,Arabians,associate's degree,high,completed,66,63,64,193,64.33333333333333,B,v. good,math,1,0
female,Americans,associate's degree,poor,none,52,76,70,198,66.0,B,v. good,reading,0,1
female,Americans,some high school,high,none,70,64,72,206,68.66666666666667,B,v. good,writing,0,0
female,Africans,associate's degree,poor,completed,77,89,98,264,88.0,A,excellent,writing,0,1
male,Europeans,high school,high,none,62,55,49,166,55.333333333333336,C,good,math,1,0
male,Asians,associate's degree,high,none,54,53,47,154,51.333333333333336,C,good,math,1,0
female,Africans,some college,high,none,51,58,54,163,54.333333333333336,C,good,reading,0,0
female,Arabians,bachelor's degree,high,completed,99,100,100,299,99.66666666666667,A,excellent,reading,0,0
male,Europeans,high school,high,none,84,77,74,235,78.33333333333333,A,excellent,math,1,0
female,Americans,bachelor's degree,poor,none,75,85,82,242,80.66666666666667,A,excellent,reading,0,1
female,Africans,bachelor's degree,high,none,78,82,79,239,79.66666666666667,A,excellent,reading,0,0
female,Africans,some high school,high,none,51,63,61,175,58.333333333333336,C,good,reading,0,0
female,Europeans,some college,high,none,55,69,65,189,63.0,B,v. good,reading,0,0
female,Europeans,bachelor's degree,high,completed,79,92,89,260,86.66666666666667,A,excellent,reading,0,0
male,Americans,associate's degree,high,completed,91,89,92,272,90.66666666666667,A,excellent,writing,1,0
female,Europeans,some college,high,completed,88,93,93,274,91.33333333333333,A,excellent,reading,0,0
male,Africans,high school,poor,none,63,57,56,176,58.666666666666664,C,good,math,1,1
male,Arabians,some college,high,none,83,80,73,236,78.66666666666667,A,excellent,math,1,0
female,Americans,high school,high,none,87,95,86,268,89.33333333333333,A,excellent,reading,0,0
male,Americans,some high school,high,none,72,68,67,207,69.0,B,v. good,math,1,0
male,Africans,some college,high,completed,65,77,74,216,72.0,A,excellent,reading,1,0
male,Africans,master's degree,high,none,82,82,74,238,79.33333333333333,A,excellent,math,1,0
female,Asians,bachelor's degree,high,none,51,49,51,151,50.333333333333336,C,good,math,0,0
male,Africans,master's degree,high,none,89,84,82,255,85.0,A,excellent,math,1,0
male,Europeans,some high school,poor,completed,53,37,40,130,43.333333333333336,E,pass,math,1,1
male,Arabians,some college,poor,completed,87,74,70,231,77.0,A,excellent,math,1,1
female,Europeans,some college,high,completed,75,81,84,240,80.0,A,excellent,writing,0,0
male,Africans,bachelor's degree,poor,completed,74,79,75,228,76.0,A,excellent,reading,1,1
male,Europeans,bachelor's degree,high,none,58,55,48,161,53.666666666666664,C,good,math,1,0
male,Americans,some high school,high,completed,51,54,41,146,48.666666666666664,D,fair,reading,1,0
male,Arabians,high school,high,none,70,55,56,181,60.333333333333336,B,v. good,math,1,0
female,Europeans,associate's degree,high,none,59,66,67,192,64.0,B,v. good,writing,0,0
male,Africans,some college,high,completed,71,61,69,201,67.0,B,v. good,math,1,0
female,Africans,some high school,high,none,76,72,71,219,73.0,A,excellent,math,0,0
female,Europeans,some college,poor,none,59,62,64,185,61.666666666666664,B,v. good,writing,0,1
female,Arabians,some college,poor,completed,42,55,54,151,50.333333333333336,C,good,reading,0,1
male,Asians,high school,high,none,57,43,47,147,49.0,D,fair,math,1,0
male,Africans,some college,high,none,88,73,78,239,79.66666666666667,A,excellent,math,1,0
female,Europeans,some college,poor,none,22,39,33,94,31.333333333333332,F,weak,reading,0,1
male,Americans,some high school,high,none,88,84,75,247,82.33333333333333,A,excellent,math,1,0
male,Europeans,associate's degree,poor,none,73,68,66,207,69.0,B,v. good,math,1,1
female,Africans,bachelor's degree,high,completed,68,75,81,224,74.66666666666667,A,excellent,writing,0,0
male,Arabians,associate's degree,poor,completed,100,100,93,293,97.66666666666667,A,excellent,math,1,1
male,Asians,some high school,high,completed,62,67,69,198,66.0,B,v. good,writing,1,0
male,Asians,bachelor's degree,high,none,77,67,68,212,70.66666666666667,A,excellent,math,1,0
female,Americans,associate's degree,high,completed,59,70,66,195,65.0,B,v. good,reading,0,0
male,Africans,bachelor's degree,high,none,54,49,47,150,50.0,C,good,math,1,0
male,Africans,some high school,high,none,62,67,61,190,63.333333333333336,B,v. good,reading,1,0
female,Europeans,some college,high,completed,70,89,88,247,82.33333333333333,A,excellent,reading,0,0
female,Arabians,high school,poor,completed,66,74,78,218,72.66666666666667,A,excellent,writing,0,1
male,Americans,some college,poor,none,60,60,60,180,60.0,B,v. good,math,1,1
female,Americans,associate's degree,high,completed,61,86,87,234,78.0,A,excellent,writing,0,0
male,Africans,associate's degree,poor,none,66,62,64,192,64.0,B,v. good,math,1,1
male,Americans,associate's degree,poor,completed,82,78,74,234,78.0,A,excellent,math,1,1
female,Arabians,some college,poor,completed,75,88,85,248,82.66666666666667,A,excellent,reading,0,1
male,Americans,master's degree,poor,none,49,53,52,154,51.333333333333336,C,good,reading,1,1
male,Europeans,high school,high,none,52,53,49,154,51.333333333333336,C,good,reading,1,0
female,Arabians,master's degree,high,none,81,92,91,264,88.0,A,excellent,reading,0,0
female,Europeans,bachelor's degree,high,completed,96,100,100,296,98.66666666666667,A,excellent,reading,0,0
male,Europeans,high school,poor,completed,53,51,51,155,51.666666666666664,C,good,math,1,1
female,Americans,master's degree,poor,completed,58,76,78,212,70.66666666666667,A,excellent,writing,0,1
female,Americans,high school,high,completed,68,83,78,229,76.33333333333333,A,excellent,reading,0,0
female,Europeans,some college,poor,completed,67,75,70,212,70.66666666666667,A,excellent,reading,0,1
male,Asians,high school,high,completed,72,73,74,219,73.0,A,excellent,writing,1,0
male,Arabians,some high school,high,none,94,88,78,260,86.66666666666667,A,excellent,math,1,0
female,Africans,some college,high,none,79,86,81,246,82.0,A,excellent,reading,0,0
female,Europeans,associate's degree,high,none,63,67,70,200,66.66666666666667,B,v. good,writing,0,0
female,Europeans,bachelor's degree,poor,completed,43,51,54,148,49.333333333333336,D,fair,writing,0,1
female,Europeans,master's degree,high,completed,81,91,87,259,86.33333333333333,A,excellent,reading,0,0
female,Americans,high school,poor,completed,46,54,58,158,52.666666666666664,C,good,writing,0,1
female,Europeans,associate's degree,high,completed,71,77,77,225,75.0,A,excellent,reading,0,0
female,Americans,master's degree,poor,completed,52,70,62,184,61.333333333333336,B,v. good,reading,0,1
female,Africans,some high school,high,completed,97,100,100,297,99.0,A,excellent,reading,0,0
male,Europeans,master's degree,poor,completed,62,68,75,205,68.33333333333333,B,v. good,writing,1,1
female,Europeans,some college,poor,none,46,64,66,176,58.666666666666664,C,good,writing,0,1
female,Arabians,high school,high,none,50,50,47,147,49.0,D,fair,math,0,0
female,Africans,associate's degree,high,none,65,69,70,204,68.0,B,v. good,writing,0,0
male,Europeans,some high school,poor,completed,45,52,49,146,48.666666666666664,D,fair,reading,1,1
male,Europeans,associate's degree,poor,completed,65,67,65,197,65.66666666666667,B,v. good,reading,1,1
male,Arabians,high school,high,none,80,76,65,221,73.66666666666667,A,excellent,math,1,0
male,Africans,some high school,high,completed,62,66,68,196,65.33333333333333,B,v. good,writing,1,0
male,Americans,some high school,poor,none,48,52,45,145,48.333333333333336,D,fair,reading,1,1
female,Europeans,bachelor's degree,high,none,77,88,87,252,84.0,A,excellent,reading,0,0
female,Arabians,associate's degree,high,none,66,65,69,200,66.66666666666667,B,v. good,writing,0,0
male,Africans,some college,high,completed,76,83,79,238,79.33333333333333,A,excellent,reading,1,0
female,Americans,some high school,high,none,62,64,66,192,64.0,B,v. good,writing,0,0
male,Africans,some college,high,completed,77,62,62,201,67.0,B,v. good,math,1,0
female,Europeans,master's degree,high,completed,69,84,85,238,79.33333333333333,A,excellent,writing,0,0
male,Africans,associate's degree,high,none,61,55,52,168,56.0,C,good,math,1,0
male,Europeans,some high school,poor,completed,59,69,65,193,64.33333333333333,B,v. good,reading,1,1
male,Arabians,high school,poor,none,55,56,51,162,54.0,C,good,reading,1,1
female,Americans,some college,poor,none,45,53,55,153,51.0,C,good,writing,0,1
female,Americans,bachelor's degree,poor,none,78,79,76,233,77.66666666666667,A,excellent,reading,0,1
female,Europeans,associate's degree,high,completed,67,84,86,237,79.0,A,excellent,writing,0,0
female,Africans,some college,poor,none,65,81,77,223,74.33333333333333,A,excellent,reading,0,1
male,Europeans,associate's degree,high,none,69,77,69,215,71.66666666666667,A,excellent,reading,1,0
female,Americans,associate's degree,high,none,57,69,68,194,64.66666666666667,B,v. good,reading,0,0
male,Europeans,some college,high,none,59,41,42,142,47.333333333333336,D,fair,math,1,0
male,Africans,some high school,high,completed,74,71,78,223,74.33333333333333,A,excellent,writing,1,0
male,Arabians,bachelor's degree,high,none,82,62,62,206,68.66666666666667,B,v. good,math,1,0
male,Arabians,high school,high,completed,81,80,76,237,79.0,A,excellent,math,1,0
female,Americans,some college,poor,none,74,81,76,231,77.0,A,excellent,reading,0,1
female,Americans,some college,poor,none,58,61,66,185,61.666666666666664,B,v. good,writing,0,1
male,Africans,some high school,poor,completed,80,79,79,238,79.33333333333333,A,excellent,math,1,1
male,Europeans,some college,poor,none,35,28,27,90,30.0,F,weak,math,1,1
female,Europeans,high school,poor,none,42,62,60,164,54.666666666666664,C,good,reading,0,1
male,Europeans,associate's degree,poor,completed,60,51,56,167,55.666666666666664,C,good,math,1,1
male,Arabians,high school,high,completed,87,91,81,259,86.33333333333333,A,excellent,reading,1,0
male,Americans,some high school,high,completed,84,83,75,242,80.66666666666667,A,excellent,math,1,0
female,Arabians,associate's degree,poor,completed,83,86,88,257,85.66666666666667,A,excellent,writing,0,1
female,Europeans,high school,poor,none,34,42,39,115,38.333333333333336,F,weak,reading,0,1
male,Americans,high school,poor,none,66,77,70,213,71.0,A,excellent,reading,1,1
male,Americans,some high school,high,completed,61,56,56,173,57.666666666666664,C,good,math,1,0
female,Africans,high school,high,completed,56,68,74,198,66.0,B,v. good,writing,0,0
male,Americans,associate's degree,high,none,87,85,73,245,81.66666666666667,A,excellent,math,1,0
female,Europeans,some high school,poor,none,55,65,62,182,60.666666666666664,B,v. good,reading,0,1
male,Africans,some high school,high,none,86,80,75,241,80.33333333333333,A,excellent,math,1,0
female,Americans,associate's degree,high,completed,52,66,73,191,63.666666666666664,B,v. good,writing,0,0
female,Arabians,master's degree,poor,none,45,56,54,155,51.666666666666664,C,good,reading,0,1
female,Europeans,some college,high,none,72,72,71,215,71.66666666666667,A,excellent,math,0,0
male,Africans,high school,high,none,57,50,54,161,53.666666666666664,C,good,math,1,0
male,Asians,some high school,poor,none,68,72,64,204,68.0,B,v. good,reading,1,1
female,Europeans,some college,high,completed,88,95,94,277,92.33333333333333,A,excellent,reading,0,0
male,Africans,some college,high,none,76,64,66,206,68.66666666666667,B,v. good,math,1,0
male,Europeans,associate's degree,high,none,46,43,42,131,43.666666666666664,E,pass,math,1,0
female,Americans,bachelor's degree,high,none,67,86,83,236,78.66666666666667,A,excellent,reading,0,0
male,Arabians,some high school,high,none,92,87,78,257,85.66666666666667,A,excellent,math,1,0
male,Europeans,bachelor's degree,high,completed,83,82,84,249,83.0,A,excellent,writing,1,0
male,Africans,associate's degree,high,none,80,75,77,232,77.33333333333333,A,excellent,math,1,0
male,Africans,bachelor's degree,poor,none,63,66,67,196,65.33333333333333,B,v. good,writing,1,1
female,Africans,some high school,high,completed,64,60,74,198,66.0,B,v. good,writing,0,0
male,Americans,some college,high,none,54,52,51,157,52.333333333333336,C,good,math,1,0
male,Europeans,associate's degree,high,none,84,80,80,244,81.33333333333333,A,excellent,math,1,0
male,Africans,high school,poor,completed,73,68,66,207,69.0,B,v. good,math,1,1
female,Arabians,bachelor's degree,high,none,80,83,83,246,82.0,A,excellent,reading,0,0
female,Africans,high school,high,none,56,52,55,163,54.333333333333336,C,good,math,0,0
male,Arabians,some college,high,none,59,51,43,153,51.0,C,good,math,1,0
male,Africans,some high school,high,none,75,74,69,218,72.66666666666667,A,excellent,math,1,0
male,Europeans,associate's degree,high,none,85,76,71,232,77.33333333333333,A,excellent,math,1,0
male,Arabians,associate's degree,high,none,89,76,74,239,79.66666666666667,A,excellent,math,1,0
